Type,Carat,Cut,Color,Clarity,Depth,Table,X,Y,Z,Price,LogPrice
Diamond,1.6,Very Good,I,SI2,62.2,59,7.42,7.46,4.63,7906,8.975377244
Zirconia,0.7,Premium,G,VS2,62.5,55,5.69,5.64,3.54,27.27,3.305787197
Diamond,0.56,Premium,H,VS2,62.2,60,5.28,5.23,3.27,1432,7.266827348
Diamond,2.02,Premium,I,VS2,59.6,60,8.25,8.2,4.9,16861,9.732758542
Zirconia,0.51,Premium,F,SI2,58.9,60,5.24,5.19,3.07,13.15,2.576421759
Diamond,0.65,Ideal,D,VVS1,61.9,56,5.53,5.56,3.43,4320,8.371010681
Diamond,0.7,Very Good,H,SI1,62.2,56,5.64,5.67,3.52,2107,7.653020414
Zirconia,0.9,Ideal,H,VS1,60.9,56,6.25,6.27,3.81,55.14,4.009875406
Diamond,0.7,Premium,H,VS1,62.8,60,5.61,5.56,3.51,2367,7.76937861
Diamond,1.01,Very Good,D,VS2,60.4,58,6.47,6.57,3.94,6905,8.840001066
Diamond,0.38,Premium,D,VS1,61.9,60,4.66,4.62,2.87,1140,7.038783541
Zirconia,0.75,Ideal,E,VS2,61.9,57,5.81,5.83,3.6,37.79,3.632044517
Diamond,1.06,Premium,E,SI2,60.5,60,6.67,6.61,4.02,4737,8.463159303
Zirconia,0.41,Premium,D,VS2,62.4,60,4.71,4.75,2.95,11.08,2.405141681
Zirconia,1.21,Ideal,I,VVS2,62.2,55,6.79,6.83,4.23,78.47,4.362716386
Diamond,1.74,Ideal,J,SI1,62.1,54,7.73,7.69,4.79,9208,9.12782795
Diamond,1.71,Very Good,F,VS2,63.5,59,7.51,7.46,4.75,13818,9.533727369
Diamond,0.4,Ideal,G,VVS1,61.4,55,4.72,4.76,2.91,1123,7.023758955
Zirconia,0.32,Ideal,H,IF,62.2,54,4.37,4.41,2.73,8.95,2.191653532
Diamond,0.28,Very Good,E,VVS2,60.2,58,4.24,4.27,2.56,604,6.403574198
Diamond,0.3,Ideal,H,VS2,62.5,57,4.26,4.29,2.67,491,6.196444128
Zirconia,0.35,Premium,G,VS1,61.7,61,4.52,4.49,2.78,9.97,2.299580584
Diamond,0.61,Premium,G,VS1,61.7,60,5.46,5.4,3.35,1704,7.440733707
Diamond,1.01,Fair,G,VS2,65.1,56,6.2,6.15,4.02,5950,8.691146499
Diamond,1.6,Ideal,H,VS1,61.4,57,7.59,7.53,4.64,12681,9.447860089
Diamond,0.37,Ideal,D,SI1,61.1,57,4.63,4.64,2.83,823,6.712956201
Diamond,1.12,Good,G,SI2,56.7,62,6.91,6.86,3.9,4158,8.332789468
Zirconia,1.22,Ideal,G,VS1,60.7,57,6.93,6.94,4.21,99.02,4.59532185
Diamond,0.58,Ideal,F,SI2,62,57,5.35,5.32,3.31,1332,7.194436851
Diamond,0.39,Premium,G,VS2,59.8,61,4.75,4.72,2.83,942,6.848005275
Diamond,1.05,Good,F,SI2,63.6,59,6.4,6.36,4.06,3989,8.291295852
Diamond,0.52,Very Good,F,SI2,62.3,60,5.1,5.13,3.19,1057,6.963189986
Diamond,0.25,Very Good,D,VVS2,59.5,56,4.14,4.19,2.48,696,6.54534966
Diamond,0.42,Ideal,G,SI1,63,55,4.81,4.77,3.02,882,6.782192056
Zirconia,1.65,Ideal,H,VVS2,62.1,56,7.68,7.65,4.76,134.48,4.901415489
Zirconia,0.3,Ideal,F,SI1,62.8,56,4.26,4.24,2.67,7.05,1.953027617
Diamond,0.38,Ideal,E,VVS2,62,57,4.61,4.62,2.86,1100,7.003065459
Diamond,0.34,Ideal,J,VS1,61.9,55,4.5,4.54,2.8,413,6.023447593
Zirconia,0.42,Very Good,E,VVS2,59.4,60,4.88,4.91,2.91,13.88,2.630448955
Zirconia,0.52,Premium,F,VS2,60.7,59,5.18,5.14,3.13,18.92,2.940219564
Diamond,0.39,Very Good,I,VS2,62.9,57,4.64,4.68,2.93,650,6.476972363
Zirconia,0.3,Premium,E,VVS2,61.405,58,4.28,4.25,2.62,11.14,2.410542234
Zirconia,0.7,Very Good,H,VS2,61.4,54,5.77,5.66,3.51,23.52,3.157851123
Zirconia,0.32,Ideal,D,VS2,61.3,56,4.41,4.37,2.69,10.69,2.369308725
Diamond,1.57,Very Good,G,SI2,61.1,61,7.43,7.46,4.55,8419,9.038246335
Diamond,0.84,Ideal,J,VS1,62,55,6.07,6.06,3.76,2456,7.806289289
Diamond,0.57,Ideal,D,SI1,61.4,55,5.35,5.34,3.28,1810,7.501082124
Diamond,0.31,Ideal,I,VVS1,62,54,4.34,4.37,2.7,571,6.34738921
Zirconia,0.47,Ideal,H,SI2,62.4,53,4.98,5.02,3.12,8.6,2.151762203
Diamond,0.34,Very Good,G,VS2,62.9,55,4.45,4.52,2.82,596,6.390240667
Diamond,0.52,Very Good,G,VS1,61.8,58,5.19,5.16,3.2,1581,7.365812837
Diamond,0.42,Premium,E,VS1,59.5,59,4.88,4.86,2.9,1181,7.074116816
Diamond,0.26,Very Good,F,VS2,61.4,56,4.09,4.12,2.53,499,6.212606096
Diamond,0.42,Very Good,F,VS1,59.9,61,4.84,4.88,2.91,1031,6.938284484
Diamond,1.5,Fair,G,VVS2,64.8,56,7.18,7.12,4.63,13553,9.514363204
Diamond,1.07,Ideal,G,VVS2,62.8,57,6.56,6.46,4.09,8120,9.002085433
Diamond,0.34,Ideal,E,SI1,60.7,56,4.55,4.51,2.75,765,6.639875834
Zirconia,2.01,Premium,I,VS1,61.5,62,8.07,7.94,4.92,170.23,5.137150464
Diamond,0.39,Very Good,E,VS1,59.7,56,4.8,4.85,2.88,883,6.783325201
Zirconia,0.42,Ideal,G,VS1,61.8,57,4.79,4.82,2.97,10.13,2.315501318
Diamond,0.92,Ideal,G,SI2,62.4,56,6.21,6.23,3.88,4068,8.310906757
Diamond,0.42,Ideal,D,VS1,61.4,55,4.9,4.8,2.98,1075,6.980075941
Diamond,0.9,Premium,F,SI1,59.9,59,6.29,6.26,3.76,4158,8.332789468
Diamond,0.37,Ideal,D,SI1,61.5,57,4.6,4.63,2.84,681,6.523562306
Diamond,0.7,Ideal,E,VVS2,62.6,54,5.65,5.7,3.55,3901,8.26898821
Diamond,0.9,Very Good,F,SI1,63.3,55,6.05,6.08,3.84,4004,8.29504914
Diamond,1,Premium,F,VVS2,60.6,54,6.56,6.52,3.96,8924,9.096499556
Diamond,1.04,Good,H,I1,63.9,58,6.35,6.42,4.08,3203,8.07184315
Diamond,0.54,Ideal,G,VVS2,62.1,56,5.22,5.19,3.23,2090,7.644919345
Diamond,2.19,Very Good,I,SI1,60.7,60,8.46,8.4,5.12,16397,9.70485367
Diamond,1.01,Very Good,E,VS2,60.4,60,6.47,6.44,3.9,7094,8.867004635
Diamond,0.7,Good,E,SI1,58.3,64,5.77,5.69,3.34,2370,7.770645234
Diamond,0.36,Very Good,D,SI1,63.2,56,4.56,4.52,2.87,794,6.677083461
Zirconia,0.32,Ideal,F,VVS1,61.7,56,4.4,4.42,2.72,10.19,2.321406847
Diamond,0.9,Good,J,SI1,63.2,60,6.09,6.12,3.86,2729,7.911690521
Zirconia,0.4,Ideal,E,SI1,62,57,4.78,4.74,2.95,10.4,2.341805806
Diamond,0.9,Good,G,VS2,60.8,56,6.14,6.19,3.75,4210,8.345217927
Diamond,1.01,Premium,G,SI1,62.5,60,6.34,6.39,3.98,4588,8.431199478
Diamond,0.31,Very Good,G,VS1,63.3,57,4.31,4.28,2.72,749,6.618738984
Diamond,1.12,Very Good,I,VS1,59.6,58,6.82,6.77,4.05,5036,8.524367395
Diamond,0.92,Premium,D,SI2,62.4,58,6.19,6.18,3.86,4096,8.317766167
Diamond,0.92,Very Good,F,SI2,62.8,56,6.19,6.23,3.9,3873,8.26178468
Zirconia,1.2,Premium,I,SI1,61.724,56,6.82,6.76,4.19,53.59,3.981362484
Zirconia,1.31,Ideal,G,VS1,62.2,56,7.05,7.01,4.37,110.78,4.707546253
Zirconia,1.41,Ideal,G,VS1,60.4,57,7.22,7.31,4.39,121.1,4.796616651
Diamond,0.9,Very Good,H,SI2,62.3,61,6.15,6.17,3.84,3481,8.155074888
Diamond,0.71,Good,D,VS1,64.2,58,5.65,5.6,3.61,3690,8.213381737
Diamond,0.7,Good,J,VS2,63.2,61,5.59,5.62,3.54,1843,7.519149958
Diamond,1.2,Very Good,G,SI2,62.5,57,6.73,6.84,4.24,5250,8.565983356
Diamond,1.14,Ideal,H,SI1,62.3,56,6.69,6.77,4.19,5382,8.590815331
Diamond,0.35,Premium,H,VS1,61.3,59,4.57,4.54,2.79,788,6.66949809
Zirconia,0.71,Ideal,H,IF,62,54,5.71,5.75,3.55,35.09,3.55791619
Diamond,0.75,Ideal,D,SI1,62.3,57,5.8,5.83,3.62,2954,7.990915463
Diamond,0.3,Ideal,G,IF,62.5,54,4.31,4.33,2.7,863,6.760414691
Diamond,0.26,Ideal,G,VVS1,62.4,56,4.11,4.14,2.57,605,6.405228458
Zirconia,1.23,Ideal,H,SI2,60.6,56,6.94,6.92,4.2,68.19,4.222297927
Zirconia,0.35,Ideal,G,VVS2,61.8,55,4.54,4.56,2.81,8.32,2.118662255
Zirconia,0.34,Ideal,G,IF,61.9,54,4.51,4.53,2.8,10.71,2.371177884
Diamond,0.51,Premium,J,VS2,61.9,61,5.12,5.09,3.16,1080,6.98471632
Diamond,0.55,Ideal,D,VS2,58.5,58,5.42,5.39,3.16,2079,7.639642288
Diamond,0.9,Ideal,G,SI2,62.4,56,6.14,6.19,3.85,3500,8.160518247
Diamond,0.5,Very Good,E,SI2,59.9,57,5.12,5.16,3.08,1097,7.00033446
Diamond,0.28,Very Good,E,VS1,62.2,59,4.19,4.23,2.62,428,6.059123196
Zirconia,0.5,Ideal,D,VS1,60.6,57,5.15,5.18,3.13,26.99,3.295466427
Zirconia,0.31,Ideal,F,SI1,62.3,56,4.32,4.35,2.7,5.68,1.736951233
Zirconia,0.92,Fair,E,SI1,65.6,57,6.1,6.07,3.99,37.48,3.623807457
Diamond,0.51,Fair,D,VS2,64.4,54,5.06,5.03,3.25,1668,7.419380583
Diamond,0.66,Very Good,E,VS2,63.3,56.3,5.47,5.55,3.48,2443,7.800982071
Diamond,0.9,Fair,H,VS1,65.9,60,5.99,5.96,3.94,3500,8.160518247
Diamond,0.95,Very Good,G,VS1,59.9,58,6.37,6.41,3.83,5572,8.625509335
Zirconia,1,Good,H,SI1,63.7,60,6.33,6.3,4.02,52.67,3.964046033
Diamond,1.18,Ideal,I,SI1,61.3,55.6,6.79,6.84,4.18,5412,8.596373989
Zirconia,2.03,Premium,J,SI2,60.4,59,8.15,8.12,4.91,103.79,4.642369627
Zirconia,0.4,Premium,E,SI1,60.1,59,4.76,4.82,2.88,8.11,2.093097868
Zirconia,0.27,Good,E,VS1,57.5,63,4.24,4.28,2.45,4.15,1.423108334
Diamond,0.41,Ideal,E,SI1,61.2,55,4.8,4.84,2.95,824,6.71417053
Diamond,1.08,Premium,J,SI1,61,60,6.62,6.57,4.02,4173,8.336390481
Diamond,0.7,Ideal,F,VS2,62.2,55,5.66,5.72,3.54,2676,7.892078421
Zirconia,0.57,Ideal,F,SI1,61.9,56,5.33,5.37,3.31,19.35,2.962692419
Diamond,0.55,Very Good,F,VS2,61.8,57,5.23,5.28,3.25,1676,7.424165281
Zirconia,0.55,Ideal,D,VS2,61,56,5.28,5.31,3.23,18.1,2.895911938
Diamond,0.64,Good,F,VS2,59.3,60.7,5.59,5.66,3.34,2063,7.631916513
Zirconia,1.01,Premium,G,SI2,61.9,60,6.37,6.33,3.93,49.78,3.907613297
Diamond,0.25,Very Good,E,VVS1,62.3,55,4.04,4.06,2.52,633,6.450470422
Zirconia,0.39,Premium,E,VS2,62.5,60,4.64,4.67,2.91,9.78,2.280339484
Zirconia,0.7,Good,E,VS2,64.2,60,5.64,5.58,3.6,26.57,3.27978276
Diamond,0.35,Ideal,D,VS2,61.8,56,4.51,4.55,2.8,829,6.720220155
Diamond,0.7,Good,E,SI1,61.9,58,5.63,5.67,3.5,2239,7.713784617
Zirconia,0.5,Premium,F,SI2,59.9,60,5.22,5.16,3.11,12.38,2.516082267
Diamond,0.49,Premium,F,SI2,60.8,60,5.12,5.04,3.09,980,6.887552572
Diamond,1.21,Good,J,SI2,60.4,56,6.84,6.93,4.16,4559,8.42485858
Zirconia,1.09,Premium,F,SI1,60.9,59,6.64,6.59,4.03,59.22,4.081259323
Zirconia,0.44,Premium,G,VS1,62.3,59,4.87,4.82,3.02,11.34,2.428336298
Zirconia,0.56,Very Good,D,SI1,63.206,57,5.22,5.19,3.29,19.55,2.972975286
Zirconia,0.42,Ideal,F,SI1,61.6,55,4.85,4.83,2.98,9.22,2.221375038
Diamond,0.9,Very Good,I,VS2,63.3,58,6.07,6.13,3.86,3519,8.165932137
Diamond,0.96,Very Good,D,SI2,60,60,6.43,6.47,3.87,4060,8.308938253
Zirconia,1.02,Premium,H,VS1,62.1,57,6.46,6.42,4,53.1,3.972176928
Diamond,0.52,Ideal,G,VS1,60.4,57,5.21,5.24,3.16,1887,7.542743545
Zirconia,1.79,Ideal,J,VS2,61.8,56,7.74,7.85,4.82,117.24,4.764223116
Zirconia,0.5,Premium,E,VS2,62.7,59,5.02,5.06,3.16,17.15,2.841998174
Zirconia,0.31,Good,G,VS1,63.3,57,4.28,4.31,2.72,6.41,1.857859271
Diamond,0.29,Premium,E,SI1,58.4,60,4.34,4.32,2.53,548,6.306275287
Diamond,0.51,Ideal,G,VS1,61.9,56,5.14,5.1,3.17,1781,7.484930283
Diamond,0.9,Very Good,H,VS2,60.8,58,6.18,6.22,3.77,3890,8.266164437
Diamond,0.62,Premium,E,VVS2,60.7,60,5.51,5.43,3.32,2727,7.910957383
Diamond,0.9,Premium,G,SI1,62.7,59,6.14,6.1,3.84,3774,8.235890726
Diamond,1.17,Premium,G,VS1,60.6,60,6.81,6.79,4.12,7666,8.944550246
Diamond,0.48,Ideal,H,SI1,61.2,56,5.06,5.1,3.11,927,6.831953566
Diamond,0.25,Premium,F,IF,61.1,58,4.08,4.1,2.5,576,6.356107661
Diamond,0.52,Very Good,I,VVS2,61.9,56,5.16,5.18,3.2,1289,7.161622003
Diamond,0.9,Ideal,E,SI1,61.1,56,6.21,6.23,3.8,4854,8.487558386
Diamond,1.02,Ideal,J,SI1,62.8,54,6.46,6.43,4.05,3856,8.257385656
Zirconia,0.3,Ideal,H,VS2,60.7,57,4.37,4.33,2.64,6.69,1.900613874
Diamond,0.9,Very Good,D,SI1,61.8,59,6.13,6.16,3.8,4291,8.364275085
Zirconia,0.36,Premium,G,VS2,62.5,58,4.51,4.55,2.83,6.48,1.86872051
Diamond,1.04,Fair,G,SI2,65.2,57,6.25,6.23,4.07,2745,7.917536354
Diamond,1.01,Fair,H,SI2,64.9,56,6.33,6.25,4.08,4129,8.325790526
Diamond,0.4,Premium,F,VS1,60.5,60,4.76,4.8,2.89,982,6.889591308
Zirconia,2.02,Ideal,J,SI2,62.2,57,8.11,8.18,5.07,140.1,4.942356453
Diamond,0.31,Premium,I,VVS1,61,58,4.39,4.33,2.66,732,6.595780514
Zirconia,1.02,Ideal,F,VS2,61.5,57,6.48,6.5,3.99,69.37,4.239454497
Zirconia,0.93,Very Good,G,VS1,62.1,59,6.16,6.21,3.84,53.67,3.982854186
Zirconia,0.31,Premium,H,VS1,59.9,59,4.4,4.38,2.63,7.68,2.038619547
Diamond,1.06,Ideal,H,SI1,61.7,60,6.48,6.52,4.01,5255,8.566935283
Diamond,1.01,Very Good,G,SI2,61.8,58,6.36,6.39,3.94,3966,8.285513309
Diamond,0.44,Premium,E,SI1,62.2,60,4.86,4.79,3,1040,6.946975992
Zirconia,1.66,Very Good,G,VS2,63.2,56,7.61,7.49,4.77,167.52,5.121102747
Diamond,0.41,Ideal,E,VVS2,61.6,55,4.81,4.84,2.97,1363,7.217443432
Diamond,0.57,Ideal,E,VVS1,62.3,53.5,5.29,5.33,3.31,2632,7.875499292
Zirconia,0.24,Very Good,D,VVS2,60.1,57,4.03,4.09,2.44,5.49,1.702928256
Diamond,1.03,Very Good,D,VS2,63.3,57,6.39,6.44,4.06,7102,8.868131714
Diamond,0.9,Ideal,G,SI1,61.9,59,6.16,6.19,3.82,4008,8.296047643
Diamond,0.28,Ideal,F,VVS2,62.6,54,4.21,4.22,2.64,787,6.668228248
Zirconia,0.77,Very Good,H,VS1,61,60,5.9,5.87,3.59,31.24,3.441699325
Zirconia,0.4,Ideal,I,VVS2,62.4,55,4.73,4.7,2.94,11.39,2.432735777
Diamond,0.42,Very Good,H,SI1,63.1,57,4.78,4.76,3.01,898,6.800170068
Diamond,1,Good,D,SI1,64.1,56,6.28,6.24,4.01,6328,8.752739509
Zirconia,1,Good,E,VS1,60.1,63,6.42,6.45,3.87,83.12,4.420285347
Diamond,2.17,Ideal,H,SI2,62,56,8.25,8.29,5.13,17805,9.787234596
Diamond,0.31,Ideal,G,VS1,61.4,56,4.37,4.36,2.68,802,6.687108608
Zirconia,0.31,Ideal,D,SI1,61.7,57,4.34,4.38,2.69,6.28,1.83736998
Diamond,1.1,Good,F,SI2,60.5,61,6.61,6.67,4.02,4674,8.449770515
Diamond,0.51,Premium,E,VS2,60.5,56,5.24,5.18,3.15,1781,7.484930283
Diamond,1.36,Premium,J,SI2,62.6,58,7.12,7,4.42,5310,8.577347114
Diamond,1,Good,G,SI1,63.9,60,6.22,6.27,3.99,4737,8.463159303
Diamond,0.66,Ideal,H,SI1,62.4,58,5.53,5.56,3.46,1609,7.383368147
Diamond,0.42,Ideal,I,SI1,61.6,55,4.83,4.85,2.98,690,6.536691598
Diamond,0.3,Very Good,D,SI1,62.6,56,4.24,4.29,2.67,552,6.313548046
Diamond,0.83,Very Good,F,SI1,62.1,58,5.98,6.06,3.74,3010,8.009695358
Diamond,0.34,Ideal,D,VS2,61,58,4.49,4.53,2.75,753,6.624065228
Diamond,2.01,Good,I,SI2,63.8,57,8,7.95,5.1,8780,9.080231687
Diamond,1.22,Ideal,F,VS1,62.2,57,6.85,6.81,4.25,9633,9.172949983
Diamond,0.36,Ideal,G,VVS2,61.6,57,4.58,4.62,2.83,776,6.65415252
Diamond,2.01,Fair,H,SI2,65.8,63,7.77,7.68,5.08,13587,9.516868732
Diamond,1.02,Ideal,G,VS2,62.6,58,6.43,6.39,4.01,5915,8.685246776
Diamond,0.48,Ideal,G,IF,61.6,54,5.03,5.1,3.12,1859,7.527793988
Zirconia,0.41,Premium,D,SI2,62.4,60,4.77,4.71,2.96,9.64,2.265921109
Diamond,0.53,Ideal,J,SI2,61.9,54,5.2,5.23,3.23,856,6.752270376
Zirconia,1.54,Very Good,I,SI2,59.4,61,7.49,7.56,4.47,83.48,4.424607082
Diamond,0.71,Ideal,J,SI1,62.6,57,5.7,5.65,3.55,1609,7.383368147
Diamond,0.38,Very Good,F,VS2,61.9,54.8,4.63,4.69,2.89,906,6.809039306
Diamond,0.77,Very Good,G,VS1,61.1,54,5.91,5.94,3.62,3197,8.069968149
Diamond,0.71,Ideal,E,VS1,61.5,55,5.78,5.75,3.55,3748,8.228977643
Diamond,1.5,Very Good,I,SI1,61.4,62,7.26,7.33,4.48,7722,8.951828677
Diamond,1.23,Very Good,H,VVS1,62.5,58,6.77,6.82,4.25,8405,9.036582046
Zirconia,0.91,Ideal,H,VS2,62.4,56,6.2,6.14,3.85,51.46,3.940804807
Zirconia,0.35,Premium,H,VVS2,62.7,58,4.5,4.46,2.81,9.97,2.299580584
Diamond,1,Premium,G,VS2,61,59,6.41,6.37,3.9,5887,8.680501809
Diamond,0.3,Premium,E,SI1,61.3,60,4.27,4.31,2.63,526,6.265301213
Diamond,1.5,Good,E,SI2,61.5,65,7.21,7.17,4.42,6300,8.748304912
Zirconia,0.33,Ideal,D,VS1,61.7,55,4.48,4.5,2.77,11.08,2.405141681
Diamond,0.3,Ideal,E,VS2,61.5,55,4.34,4.31,2.66,844,6.738152495
Diamond,0.91,Premium,E,SI2,62.8,61,6.09,6.07,3.82,3639,8.199464198
Diamond,0.31,Premium,I,VVS2,62.1,58,4.33,4.3,2.68,698,6.548219103
Zirconia,1.31,Very Good,G,SI2,62.2,58,7.05,6.98,4.36,78.18,4.35901386
Zirconia,0.54,Ideal,G,VVS1,62.2,56,5.2,5.22,3.24,23.35,3.150596984
Diamond,0.9,Good,H,SI2,63.6,60,6.06,6.11,3.87,3250,8.086410275
Diamond,2.55,Good,H,SI2,63.7,59,8.66,8.57,5.49,14775,9.600691842
Diamond,0.71,Ideal,H,VS1,62.2,57,5.66,5.73,3.54,2559,7.847371836
Diamond,2.2,Premium,J,VS1,61.7,59,8.3,8.34,5.13,15064,9.62006307
Diamond,0.51,Ideal,F,SI2,61.3,57,5.16,5.19,3.17,1146,7.044032897
Diamond,1.51,Premium,H,VS2,63,58,7.34,7.27,4.6,10548,9.263691547
Diamond,0.3,Premium,F,VVS2,62.4,58,4.28,4.25,2.66,945,6.851184927
Diamond,1.72,Premium,J,SI1,62,56,7.76,7.7,4.79,6857,8.833025307
Diamond,0.55,Ideal,F,SI1,62.4,55,5.23,5.28,3.28,1410,7.251344983
Diamond,0.51,Very Good,D,SI1,61.7,58,5.09,5.12,3.15,1403,7.24636808
Diamond,1.1,Ideal,F,IF,62,57,6.65,6.57,4.1,11233,9.326611154
Diamond,1.13,Premium,H,SI1,62.6,60,6.68,6.62,4.16,4256,8.356085031
Diamond,1.51,Premium,I,SI2,59.7,59,7.48,7.46,4.46,7577,8.932872622
Diamond,0.72,Ideal,F,VS2,62.2,56,5.75,5.73,3.57,2956,7.991592282
Diamond,0.5,Ideal,E,VS1,61.9,55,5.08,5.13,3.16,1675,7.423568444
Diamond,0.33,Premium,G,VVS1,61.9,59,4.41,4.38,2.72,1114,7.01571242
Diamond,0.4,Ideal,D,VS2,61.5,55,4.71,4.75,2.91,982,6.889591308
Zirconia,0.75,Very Good,E,SI2,60.9,59,5.83,5.9,3.57,26.21,3.266141017
Zirconia,0.34,Premium,E,SI2,61.7,58,4.5,4.54,2.79,5.25,1.658228077
Diamond,2.03,Very Good,G,SI2,62.7,55,8.07,8.14,5.08,17752,9.784253465
Diamond,0.72,Premium,D,SI1,60.4,59,5.77,5.72,3.47,2691,7.897668151
Diamond,0.61,Ideal,E,VS2,61.9,53,5.45,5.5,3.39,2248,7.717796211
Diamond,1,Ideal,E,VS2,62.8,57,6.37,6.34,3.99,6720,8.812843434
Diamond,0.71,Ideal,H,SI1,62,57,5.73,5.76,3.56,2368,7.769800996
Zirconia,1.72,Premium,H,VS1,59.3,59,7.86,7.82,4.65,158.55,5.066070001
Diamond,0.58,Ideal,D,SI2,61.7,54,5.4,5.43,3.34,1356,7.212294469
Diamond,0.3,Good,I,SI1,64.1,57,4.3,4.25,2.74,506,6.226536669
Diamond,0.3,Ideal,D,SI1,62.4,54,4.32,4.34,2.7,508,6.230481448
Diamond,0.8,Fair,E,SI1,56.3,63,6.22,6.14,3.48,2885,7.967280179
Zirconia,0.37,Ideal,H,SI1,60.9,57,4.63,4.67,2.83,6.07,1.803358605
Diamond,1.69,Premium,F,VS2,59.8,60,7.79,7.74,4.64,14242,9.563950625
Zirconia,1.23,Very Good,F,SI2,60.9,58,6.93,6.96,4.23,51.27,3.937105786
Diamond,2.06,Premium,E,SI2,58.8,58,8.42,8.35,4.93,14634,9.591102867
Zirconia,1.64,Very Good,F,SI2,63.2,57,7.56,7.47,4.75,91.93,4.521027418
Diamond,2.01,Very Good,I,VS2,62.3,59,8.02,8.1,5.02,15965,9.678154105
Diamond,1.07,Very Good,G,SI2,58.5,61,6.59,6.71,3.89,4201,8.343077871
Zirconia,0.31,Ideal,F,IF,60.9,56,4.37,4.4,2.67,10.05,2.307572635
Diamond,0.5,Very Good,D,SI1,62.8,53,5.04,5.08,3.18,1436,7.26961675
Zirconia,1.03,Very Good,G,VS1,61.3,56.1,6.5,6.52,3.99,82.62,4.414251782
Diamond,0.31,Premium,D,SI1,62.1,58,4.33,4.3,2.68,732,6.595780514
Diamond,0.41,Premium,F,VVS2,60.6,58,4.84,4.79,2.92,1192,7.083387848
Diamond,1.31,Ideal,I,SI2,63.6,55,6.98,6.92,4.42,5546,8.620832226
Diamond,0.5,Ideal,F,VS2,62.7,57,5.08,5.1,3.19,1436,7.26961675
Diamond,0.52,Ideal,G,SI1,62.6,56,5.16,5.13,3.22,1338,7.198931241
Zirconia,0.7,Very Good,F,SI1,59.4,59,5.75,5.8,3.43,28.3,3.342861805
Diamond,0.41,Good,E,VS2,63.1,64,4.63,4.66,2.93,910,6.8134446
Diamond,0.38,Ideal,F,SI2,61.3,55,4.67,4.69,2.87,568,6.342121419
Diamond,1.06,Ideal,G,VVS2,61.7,56,6.59,6.56,4.06,8358,9.030974443
Diamond,0.7,Premium,D,VVS2,61.5,60,5.71,5.64,3.49,3210,8.074026216
Diamond,0.31,Premium,D,SI2,60.1,60,4.41,4.38,2.64,593,6.385194399
Diamond,0.8,Premium,F,VS2,62.4,59,5.92,5.85,3.67,3285,8.097121931
Diamond,1.19,Very Good,E,SI1,58,63,6.9,6.97,4.02,5956,8.692154394
Diamond,0.41,Ideal,G,VVS1,62.5,53,4.76,4.78,2.98,1068,6.97354302
Diamond,1.29,Premium,G,VS2,58.7,58,7.27,7.11,4.22,8842,9.087268374
Zirconia,1.84,Premium,H,SI2,61,58,7.97,7.87,4.81,87.14,4.467516021
Diamond,1.01,Very Good,G,SI2,63.7,57,6.3,6.35,4.03,4498,8.411388133
Diamond,1.26,Ideal,H,VS1,61,57,6.97,7.03,4.27,8959,9.100413893
Diamond,1.01,Ideal,F,SI2,60.4,59,6.48,6.51,3.92,5020,8.521185213
Zirconia,0.5,Very Good,E,VVS2,59.1,61,5.19,5.23,3.08,23.17,3.142858338
Zirconia,0.32,Ideal,I,IF,61.4,57,4.39,4.44,2.71,7.21,1.975468951
Diamond,1.34,Premium,H,SI2,61.6,60,7.05,6.97,4.32,4502,8.412277021
Diamond,0.5,Premium,H,VS1,62.7,59,5.03,4.98,3.14,1253,7.133295955
Diamond,1.07,Ideal,I,SI1,62,55,6.56,6.6,4.08,4958,8.508757713
Diamond,0.61,Ideal,D,SI2,59.9,57,5.55,5.53,3.32,1690,7.432483808
Diamond,0.71,Very Good,J,VS2,62.6,57,5.64,5.7,3.55,1626,7.39387829
Diamond,0.9,Good,F,SI2,64.3,57,6.16,6.06,3.93,3210,8.074026216
Diamond,1.5,Very Good,F,VS2,61.9,60,7.29,7.32,4.52,13001,9.472781557
Zirconia,0.7,Premium,H,VS1,60.2,56,5.78,5.71,3.46,26.79,3.288028684
Diamond,0.35,Premium,D,SI1,62.1,58,4.51,4.54,2.81,644,6.467698726
Zirconia,1.67,Premium,H,SI2,61.6,57,7.66,7.61,4.7,105.88,4.662306377
Zirconia,0.54,Very Good,E,SI2,63.4,56,5.18,5.14,3.27,13.75,2.621038824
Diamond,1.03,Ideal,E,SI2,62.5,56,6.48,6.45,4.04,4522,8.416709653
Diamond,0.3,Very Good,H,VS1,60.4,61,4.27,4.31,2.59,526,6.265301213
Diamond,0.42,Premium,F,VS1,61.8,59,4.83,4.81,2.98,1103,7.005789019
Zirconia,0.46,Ideal,G,SI1,61.4,56,4.97,4.99,3.06,10.89,2.387844937
Zirconia,0.31,Very Good,F,VS2,62.7,57,4.31,4.36,2.72,5.5,1.704748092
Diamond,0.56,Premium,E,VS2,61.4,61,5.31,5.28,3.25,1915,7.557472902
Zirconia,0.92,Premium,E,SI1,62.1,58,6.22,6.15,3.84,49.3,3.897924081
Diamond,0.52,Ideal,G,VVS2,60.8,57,5.16,5.21,3.15,1911,7.555381944
Zirconia,0.53,Ideal,H,VS2,61.4,56,5.2,5.23,3.2,22.34,3.106378794
